authors,title,venue,pages,year,type,access,key,doi,ee,url,keyword
"{'author': [{'@pid': '117/8947', 'text': 'Jill-Jênn Vie'}, {'@pid': '27/4448', 'text': 'Hisashi Kashima'}]}",Knowledge Tracing Machines - Factorization Machines for Knowledge Tracing.,AAAI,750-757,2019,Conference and Workshop Papers,open,conf/aaai/VieK19,10.1609/AAAI.V33I01.3301750,https://doi.org/10.1609/aaai.v33i01.3301750,https://dblp.org/rec/conf/aaai/VieK19,knowledge tracing
"{'author': [{'@pid': '136/3330', 'text': 'Yunfei Liu'}, {'@pid': '48/450', 'text': 'Yang Yang'}, {'@pid': '179/0991', 'text': 'Xianyu Chen'}, {'@pid': '95/5846-3', 'text': 'Jian Shen 0003'}, {'@pid': '93/7133-11', 'text': 'Haifeng Zhang 0011'}, {'@pid': '43/5685-1', 'text': 'Yong Yu 0001'}]}",Improving Knowledge Tracing via Pre-training Question Embeddings.,IJCAI,1577-1583,2020,Conference and Workshop Papers,open,conf/ijcai/LiuYCSZY20,10.24963/IJCAI.2020/219,https://doi.org/10.24963/ijcai.2020/219,https://dblp.org/rec/conf/ijcai/LiuYCSZY20,knowledge tracing
"{'author': [{'@pid': '270/6478', 'text': 'Shuanghong Shen'}, {'@pid': '95/2446', 'text': 'Qi Liu'}, {'@pid': '07/258', 'text': 'Enhong Chen'}, {'@pid': '178/8690', 'text': 'Zhenya Huang'}, {'@pid': '81/6685', 'text': 'Wei Huang'}, {'@pid': '83/4081', 'text': 'Yu Yin'}, {'@pid': '38/1070', 'text': 'Yu Su'}, {'@pid': '74/5750-1', 'text': 'Shijin Wang 0001'}]}",Learning Process-consistent Knowledge Tracing.,KDD,1452-1460,2021,Conference and Workshop Papers,closed,conf/kdd/ShenLCHHYS021,10.1145/3447548.3467237,https://doi.org/10.1145/3447548.3467237,https://dblp.org/rec/conf/kdd/ShenLCHHYS021,knowledge tracing
"{'author': [{'@pid': '143/7228-1', 'text': 'Aritra Ghosh 0001'}, {'@pid': '97/6300', 'text': 'Neil T. Heffernan'}, {'@pid': '127/6503', 'text': 'Andrew S. Lan'}]}",Context-Aware Attentive Knowledge Tracing.,KDD,2330-2339,2020,Conference and Workshop Papers,closed,conf/kdd/0001HL20,10.1145/3394486.3403282,https://doi.org/10.1145/3394486.3403282,https://dblp.org/rec/conf/kdd/0001HL20,knowledge tracing
"{'author': [{'@pid': '148/4909', 'text': 'Sein Minn'}, {'@pid': '99/111-1', 'text': 'Yi Yu 0001'}, {'@pid': 'd/MichelCDesmarais', 'text': 'Michel C. Desmarais'}, {'@pid': '77/1985', 'text': 'Feida Zhu 0001'}, {'@pid': '117/8947', 'text': 'Jill-Jênn Vie'}]}",Deep Knowledge Tracing and Dynamic Student Classification for Knowledge Tracing.,ICDM,1182-1187,2018,Conference and Workshop Papers,closed,conf/icdm/MinnYDZV18,10.1109/ICDM.2018.00156,https://doi.org/10.1109/ICDM.2018.00156,https://dblp.org/rec/conf/icdm/MinnYDZV18,knowledge tracing
"{'author': [{'@pid': '241/9599', 'text': 'Shiwei Tong'}, {'@pid': '95/2446-3', 'text': 'Qi Liu 0003'}, {'@pid': '81/6685', 'text': 'Wei Huang'}, {'@pid': '178/8690', 'text': 'Zhenya Huang'}, {'@pid': '07/258', 'text': 'Enhong Chen'}, {'@pid': '04/7212', 'text': 'Chuanren Liu'}, {'@pid': '83/8129', 'text': 'Haiping Ma'}, {'@pid': '74/5750-1', 'text': 'Shijin Wang 0001'}]}",Structure-based Knowledge Tracing - An Influence Propagation View.,ICDM,541-550,2020,Conference and Workshop Papers,closed,conf/icdm/TongLHHCLM020,10.1109/ICDM50108.2020.00063,https://doi.org/10.1109/ICDM50108.2020.00063,https://dblp.org/rec/conf/icdm/TongLHHCLM020,knowledge tracing
"{'author': [{'@pid': '191/5277', 'text': 'Wenbin Gan'}, {'@pid': '75/5247', 'text': 'Yuan Sun'}, {'@pid': '00/4039', 'text': 'Shiwei Ye'}, {'@pid': '41/4923', 'text': 'Ye Fan'}, {'@pid': '65/2709', 'text': 'Yi Sun'}]}",Field-Aware Knowledge Tracing Machine by Modelling Students&apos; Dynamic Learning Procedure and Item Difficulty.,ICDM Workshops,1045-1046,2019,Conference and Workshop Papers,closed,conf/icdm/GanSYFS19,10.1109/ICDMW.2019.00151,https://doi.org/10.1109/ICDMW.2019.00151,https://dblp.org/rec/conf/icdm/GanSYFS19,knowledge tracing
"{'author': [{'@pid': '04/11514', 'text': 'Penghe Chen'}, {'@pid': '09/2321-3', 'text': 'Yu Lu 0003'}, {'@pid': '47/1961', 'text': 'Vincent W. Zheng'}, {'@pid': '232/5611', 'text': 'Yang Pian'}]}",Prerequisite-Driven Deep Knowledge Tracing.,ICDM,39-48,2018,Conference and Workshop Papers,closed,conf/icdm/Chen0ZP18,10.1109/ICDM.2018.00019,https://doi.org/10.1109/ICDM.2018.00019,https://dblp.org/rec/conf/icdm/Chen0ZP18,knowledge tracing
"{'author': [{'@pid': '148/4909', 'text': 'Sein Minn'}, {'@pid': '77/1985', 'text': 'Feida Zhu 0001'}, {'@pid': 'd/MichelCDesmarais', 'text': 'Michel C. Desmarais'}]}",Improving Knowledge Tracing Model by Integrating Problem Difficulty.,ICDM Workshops,1505-1506,2018,Conference and Workshop Papers,closed,conf/icdm/MinnZD18,10.1109/ICDMW.2018.00220,https://doi.org/10.1109/ICDMW.2018.00220,https://dblp.org/rec/conf/icdm/MinnZD18,knowledge tracing
"{'author': [{'@pid': '202/0235', 'text': 'Hiromi Nakagawa'}, {'@pid': '117/7377', 'text': 'Yusuke Iwasawa'}, {'@pid': 'm/YMatsuo', 'text': 'Yutaka Matsuo'}]}",End-to-End Deep Knowledge Tracing by Learning Binary Question-Embedding.,ICDM Workshops,334-342,2018,Conference and Workshop Papers,closed,conf/icdm/NakagawaIM18,10.1109/ICDMW.2018.00055,https://doi.org/10.1109/ICDMW.2018.00055,https://dblp.org/rec/conf/icdm/NakagawaIM18,knowledge tracing
"{'author': [{'@pid': '170/2693', 'text': 'Mohamed H. Gad-Elrab'}, {'@pid': '89/2024-1', 'text': 'Daria Stepanova 0001'}, {'@pid': '15/7454', 'text': 'Jacopo Urbani'}, {'@pid': 'w/GerhardWeikum', 'text': 'Gerhard Weikum'}]}",Tracy - Tracing Facts over Knowledge Graphs and Text.,WWW,3516-3520,2019,Conference and Workshop Papers,closed,conf/www/Gad-Elrab0UW19,10.1145/3308558.3314126,https://doi.org/10.1145/3308558.3314126,https://dblp.org/rec/conf/www/Gad-Elrab0UW19,knowledge tracing
"{'author': [{'@pid': '150/3961', 'text': 'Koki Nagatani'}, {'@pid': '04/2024-61', 'text': 'Qian Zhang 0061'}, {'@pid': '07/2361', 'text': 'Masahiro Sato'}, {'@pid': '66/9376', 'text': 'Yan-Ying Chen'}, {'@pid': '95/4481', 'text': 'Francine Chen 0001'}, {'@pid': '161/8818', 'text': 'Tomoko Ohkuma'}]}",Augmenting Knowledge Tracing by Considering Forgetting Behavior.,WWW,3101-3107,2019,Conference and Workshop Papers,closed,conf/www/NagataniZSCCO19,10.1145/3308558.3313565,https://doi.org/10.1145/3308558.3313565,https://dblp.org/rec/conf/www/NagataniZSCCO19,knowledge tracing
"{'author': [{'@pid': '186/6870-1', 'text': 'Jiani Zhang 0001'}, {'@pid': '145/9987', 'text': 'Xingjian Shi'}, {'@pid': 'k/IrwinKing', 'text': 'Irwin King'}, {'@pid': '41/5668', 'text': 'Dit-Yan Yeung'}]}",Dynamic Key-Value Memory Networks for Knowledge Tracing.,WWW,765-774,2017,Conference and Workshop Papers,closed,conf/www/ZhangSKY17,10.1145/3038912.3052580,https://doi.org/10.1145/3038912.3052580,https://dblp.org/rec/conf/www/ZhangSKY17,knowledge tracing
"{'author': [{'@pid': '06/8646', 'text': 'Ting Long'}, {'@pid': '136/3330', 'text': 'Yunfei Liu'}, {'@pid': '95/5846-3', 'text': 'Jian Shen 0003'}, {'@pid': '28/10261-1', 'text': 'Weinan Zhang 0001'}, {'@pid': '43/5685-1', 'text': 'Yong Yu 0001'}]}",Tracing Knowledge State with Individual Cognition and Acquisition Estimation.,SIGIR,173-182,2021,Conference and Workshop Papers,closed,conf/sigir/LongLS0021,10.1145/3404835.3462827,https://doi.org/10.1145/3404835.3462827,https://dblp.org/rec/conf/sigir/LongLS0021,knowledge tracing
"{'author': [{'@pid': '270/6478', 'text': 'Shuanghong Shen'}, {'@pid': '95/2446-3', 'text': 'Qi Liu 0003'}, {'@pid': '07/258', 'text': 'Enhong Chen'}, {'@pid': '13/1864', 'text': 'Han Wu'}, {'@pid': '178/8690', 'text': 'Zhenya Huang'}, {'@pid': '256/9435', 'text': 'Weihao Zhao'}, {'@pid': '38/1070-2', 'text': 'Yu Su 0002'}, {'@pid': '83/8129', 'text': 'Haiping Ma'}, {'@pid': '74/5750-1', 'text': 'Shijin Wang 0001'}]}",Convolutional Knowledge Tracing - Modeling Individualization in Student Learning Process.,SIGIR,1857-1860,2020,Conference and Workshop Papers,closed,conf/sigir/ShenLCWHZ0MW20,10.1145/3397271.3401288,https://doi.org/10.1145/3397271.3401288,https://dblp.org/rec/conf/sigir/ShenLCWHZ0MW20,knowledge tracing
"{'author': [{'@pid': '245/1810', 'text': 'Ghodai Abdelrahman'}, {'@pid': '97/6505-2', 'text': 'Qing Wang 0002'}]}",Knowledge Tracing with Sequential Key-Value Memory Networks.,SIGIR,175-184,2019,Conference and Workshop Papers,closed,conf/sigir/AbdelrahmanW19,10.1145/3331184.3331195,https://doi.org/10.1145/3331184.3331195,https://dblp.org/rec/conf/sigir/AbdelrahmanW19,knowledge tracing
"{'author': [{'@pid': '286/9517', 'text': 'Moyu Zhang'}, {'@pid': '69/4229', 'text': 'Xinning Zhu'}, {'@pid': '50/2736', 'text': 'Chunhong Zhang'}, {'@pid': '72/1056', 'text': 'Yang Ji'}, {'@pid': '84/1769', 'text': 'Feng Pan'}, {'@pid': '94/2655', 'text': 'Changchuan Yin'}]}",Multi-Factors Aware Dual-Attentional Knowledge Tracing.,CIKM,2588-2597,2021,Conference and Workshop Papers,closed,conf/cikm/ZhangZZJPY21,10.1145/3459637.3482372,https://doi.org/10.1145/3459637.3482372,https://dblp.org/rec/conf/cikm/ZhangZZJPY21,knowledge tracing
"{'author': [{'@pid': '206/8894', 'text': 'Shalini Pandey'}, {'@pid': 's/JaideepSrivastava', 'text': 'Jaideep Srivastava'}]}",RKT - Relation-Aware Self-Attention for Knowledge Tracing.,CIKM,1205-1214,2020,Conference and Workshop Papers,closed,conf/cikm/PandeyS20,10.1145/3340531.3411994,https://doi.org/10.1145/3340531.3411994,https://dblp.org/rec/conf/cikm/PandeyS20,knowledge tracing
"{'author': [{'@pid': '133/4864-2', 'text': 'Shreya Ghosh 0002'}, {'@pid': '34/9049-1', 'text': 'Soumya K. Ghosh 0001'}]}",Modeling of Human Movement Behavioral Knowledge from GPS Traces for Categorizing Mobile Users.,WWW,51-58,2017,Conference and Workshop Papers,closed,conf/www/GhoshG17,10.1145/3041021.3054150,https://doi.org/10.1145/3041021.3054150,https://dblp.org/rec/conf/www/GhoshG17,knowledge trace
